Nationality,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
Angola,0,0,0,0,2
Bangladesh,2,1,0,0,0
Brazil,1,1,0,4,1
China,0,1,0,1,1
Colombia,1,0,0,2,6
Costa Rica,0,0,0,0,2
Cuba,0,0,0,4,9
Dominican Republic,0,3,0,0,3
Ecuador,2,6,4,12,6
El Salvador,8,7,2,19,24
Ghana,0,0,0,0,1
Guatemala,20,21,11,32,95
Haiti,0,0,0,0,1
Honduras,14,16,11,30,62
India,0,1,0,0,1
Jamaica,0,0,0,0,1
Mexico,117,124,136,334,415
Nicaragua,1,2,0,4,7
Peru,1,0,0,0,2
Russia,0,0,0,0,2
Senegal,0,0,0,0,1
Syria,0,0,0,0,1
Venezuela,0,0,1,1,7
Uruguay,0,0,0,0,1
Unknown,114,117,89,125,244
